"['abdominal discomfort', ['a07.001.006.001'], 0]","['gastrointestinal signs and symptoms nec', ['a07.001.006'], 1]","['gastrointestinal signs and symptoms', ['a07.001'], 2]","['gastrointestinal disorders', ['a07'], 3]"
"['abdominal distension', ['a07.001.004.001'], 0]","['flatulence, bloating and distension', ['a07.001.004'], 1]","['gastrointestinal signs and symptoms', ['a07.001'], 2]","['gastrointestinal disorders', ['a07'], 3]"
"['abdominal pain', ['a07.001.005.002'], 0]","['gastrointestinal and abdominal pains (excl oral and throat)', ['a07.001.005'], 1]","['gastrointestinal signs and symptoms', ['a07.001'], 2]","['gastrointestinal disorders', ['a07'], 3]"
"['abdominal pain lower', ['a07.001.005.010'], 0]","['gastrointestinal and abdominal pains (excl oral and throat)', ['a07.001.005'], 1]","['gastrointestinal signs and symptoms', ['a07.001'], 2]","['gastrointestinal disorders', ['a07'], 3]"
"['abdominal pain upper', ['a07.001.005.003'], 0]","['gastrointestinal and abdominal pains (excl oral and throat)', ['a07.001.005'], 1]","['gastrointestinal signs and symptoms', ['a07.001'], 2]","['gastrointestinal disorders', ['a07'], 3]"
"['abnormal behaviour', ['a19.001.001.001'], 0]","['abnormal behaviour nec', ['a19.001.001'], 1]","['psychiatric and behavioural symptoms nec', ['a19.001'], 2]","['psychiatric disorders', ['a19'], 3]"
"['abnormal dreams', ['a19.002.003.001', 'a17.015.002.001'], 0]","['parasomnias', ['a19.002.003'], 1]","['abnormal sleep-related events', ['a17.015.002'], 1]","['sleep disorders and disturbances', ['a19.002'], 2]","['sleep disturbances (incl subtypes)', ['a17.015'], 2]","['psychiatric disorders', ['a19'], 3]","['nervous system disorders', ['a17'], 3]"
"['abnormal faeces', ['a07.001.003.001'], 0]","['faecal abnormalities nec', ['a07.001.003'], 1]","['gastrointestinal signs and symptoms', ['a07.001'], 2]","['gastrointestinal disorders', ['a07'], 3]"
"['abscess', ['a11.001.008.001'], 0]","['infections nec', ['a11.001.008'], 1]","['infections - pathogen unspecified', ['a11.001'], 2]","['infections and infestations', ['a11'], 3]"
"['accommodation disorder', ['a06.002.004.001'], 0]","['refractive and accommodative disorders', ['a06.002.004'], 1]","['vision disorders', ['a06.002'], 2]","['eye disorders', ['a06'], 3]"
"['acidosis', ['a14.001.003.002'], 0]","['mixed acid-base disorders', ['a14.001.003'], 1]","['acid-base disorders', ['a14.001'], 2]","['metabolism and nutrition disorders', ['a14'], 3]"
"['acne', ['a23.002.001.001'], 0]","['acnes', ['a23.002.001'], 1]","['skin appendage conditions', ['a23.002'], 2]","['skin and subcutaneous tissue disorders', ['a23'], 3]"
"['actinic keratosis', ['a23.001.006.001'], 0]","['skin preneoplastic conditions nec', ['a23.001.006'], 1]","['cornification and dystrophic skin disorders', ['a23.001'], 2]","['skin and subcutaneous tissue disorders', ['a23'], 3]"
"['acute coronary syndrome', ['a24.004.004.011', 'a02.002.002.015'], 0]","['coronary necrosis and vascular insufficiency', ['a24.004.004'], 1]","['ischaemic coronary artery disorders', ['a02.002.002'], 1]","['arteriosclerosis, stenosis, vascular insufficiency and necrosis', ['a24.004'], 2]","['coronary artery disorders', ['a02.002'], 2]","['vascular disorders', ['a24'], 3]","['cardiac disorders', ['a02'], 3]"
"['acute myocardial infarction', ['a02.002.002.001', 'a24.004.004.001'], 0]","['ischaemic coronary artery disorders', ['a02.002.002'], 1]","['coronary necrosis and vascular insufficiency', ['a24.004.004'], 1]","['coronary artery disorders', ['a02.002'], 2]","['arteriosclerosis, stenosis, vascular insufficiency and necrosis', ['a24.004'], 2]","['cardiac disorders', ['a02'], 3]","['vascular disorders', ['a24'], 3]"
"['acute respiratory distress syndrome', ['a22.001.003.001'], 0]","['pulmonary oedemas', ['a22.001.003'], 1]","['lower respiratory tract disorders (excl obstruction and infection)', ['a22.001'], 2]","['respiratory, thoracic and mediastinal disorders', ['a22'], 3]"
"['adrenal insufficiency', ['a05.001.002.001', 'a14.011.001.004'], 0]","['adrenal cortical hypofunctions', ['a05.001.002'], 1]","['metabolic disorders nec', ['a14.011.001'], 1]","['adrenal gland disorders', ['a05.001'], 2]","['metabolism disorders nec', ['a14.011'], 2]","['endocrine disorders', ['a05'], 3]","['metabolism and nutrition disorders', ['a14'], 3]"
"['affect lability', ['a19.004.001.001'], 0]","['affect alterations nec', ['a19.004.001'], 1]","['mood disorders and disturbances nec', ['a19.004'], 2]","['psychiatric disorders', ['a19'], 3]"
"['affective disorder', ['a19.004.004.001'], 0]","['mood disorders nec', ['a19.004.004'], 1]","['mood disorders and disturbances nec', ['a19.004'], 2]","['psychiatric disorders', ['a19'], 3]"
"['ageusia', ['a07.014.003.003', 'a17.002.007.001'], 0]","['taste disorders', ['a07.014.003'], 1]","['sensory abnormalities nec', ['a17.002.007'], 1]","['tongue conditions', ['a07.014'], 2]","['neurological disorders nec', ['a17.002'], 2]","['gastrointestinal disorders', ['a07'], 3]","['nervous system disorders', ['a17'], 3]"
"['aggression', ['a19.005.001.001'], 0]","['behaviour and socialisation disturbances', ['a19.005.001'], 1]","['personality disorders and disturbances in behaviour', ['a19.005'], 2]","['psychiatric disorders', ['a19'], 3]"
"['agitation', ['a19.006.002.001', 'a17.002.005.012'], 0]","['anxiety symptoms', ['a19.006.002'], 1]","['neurological signs and symptoms nec', ['a17.002.005'], 1]","['anxiety disorders and symptoms', ['a19.006'], 2]","['neurological disorders nec', ['a17.002'], 2]","['psychiatric disorders', ['a19'], 3]","['nervous system disorders', ['a17'], 3]"
"['agranulocytosis', ['a01.002.003.001'], 0]","['neutropenias', ['a01.002.003'], 1]","['white blood cell disorders', ['a01.002'], 2]","['blood and lymphatic system disorders', ['a01'], 3]"
"['akathisia', ['a17.001.002.002', 'a19.006.002.006'], 0]","['dyskinesias and movement disorders nec', ['a17.001.002'], 1]","['anxiety symptoms', ['a19.006.002'], 1]","['movement disorders (incl parkinsonism)', ['a17.001'], 2]","['anxiety disorders and symptoms', ['a19.006'], 2]","['nervous system disorders', ['a17'], 3]","['psychiatric disorders', ['a19'], 3]"
"['akinesia', ['a17.001.002.003'], 0]","['dyskinesias and movement disorders nec', ['a17.001.002'], 1]","['movement disorders (incl parkinsonism)', ['a17.001'], 2]","['nervous system disorders', ['a17'], 3]"
"['alanine aminotransferase increased', ['a13.003.001.003'], 0]","['liver function analyses', ['a13.003.001'], 1]","['hepatobiliary investigations', ['a13.003'], 2]","['investigations', ['a13'], 3]"
"['albuminuria', ['a20.002.001.001'], 0]","['urinary abnormalities', ['a20.002.001'], 1]","['urinary tract signs and symptoms', ['a20.002'], 2]","['renal and urinary disorders', ['a20'], 3]"
"['alcohol intolerance', ['a14.002.001.001'], 0]","['food malabsorption and intolerance syndromes (excl sugar intolerance)', ['a14.002.001'], 1]","['food intolerance syndromes', ['a14.002'], 2]","['metabolism and nutrition disorders', ['a14'], 3]"
"['alopecia', ['a23.002.002.001'], 0]","['alopecias', ['a23.002.002'], 1]","['skin appendage conditions', ['a23.002'], 2]","['skin and subcutaneous tissue disorders', ['a23'], 3]"
"['altered state of consciousness', ['a19.007.001.003', 'a17.002.004.001'], 0]","['mental disorders nec', ['a19.007.001'], 1]","['disturbances in consciousness nec', ['a17.002.004'], 1]","['psychiatric disorders nec', ['a19.007'], 2]","['neurological disorders nec', ['a17.002'], 2]","['psychiatric disorders', ['a19'], 3]","['nervous system disorders', ['a17'], 3]"
"['alveolitis allergic', ['a22.001.001.002', 'a10.001.003.008'], 0]","['lower respiratory tract inflammatory and immunologic conditions', ['a22.001.001'], 1]","['allergic conditions nec', ['a10.001.003'], 1]","['lower respiratory tract disorders (excl obstruction and infection)', ['a22.001'], 2]","['allergic conditions', ['a10.001'], 2]","['respiratory, thoracic and mediastinal disorders', ['a22'], 3]","['immune system disorders', ['a10'], 3]"
"['amblyopia', ['a06.002.001.001'], 0]","['amblyopic vision impairment', ['a06.002.001'], 1]","['vision disorders', ['a06.002'], 2]","['eye disorders', ['a06'], 3]"
"['amenorrhoea', ['a21.001.002.001', 'a05.005.001.002'], 0]","['menstruation with decreased bleeding', ['a21.001.002'], 1]","['female gonadal function disorders', ['a05.005.001'], 1]","['menstrual cycle and uterine bleeding disorders', ['a21.001'], 2]","['endocrine disorders of gonadal function', ['a05.005'], 2]","['reproductive system and breast disorders', ['a21'], 3]","['endocrine disorders', ['a05'], 3]"
"['amnesia', ['a17.003.002.001', 'a19.020.001.001'], 0]","['memory loss (excl dementia)', ['a17.003.002'], 1]","['amnestic symptoms', ['a19.020.001'], 1]","['mental impairment disorders', ['a17.003'], 2]","['dementia and amnestic conditions', ['a19.020'], 2]","['nervous system disorders', ['a17'], 3]","['psychiatric disorders', ['a19'], 3]"
"['amylase increased', ['a13.005.001.009'], 0]","['digestive enzymes', ['a13.005.001'], 1]","['gastrointestinal investigations', ['a13.005'], 2]","['investigations', ['a13'], 3]"
"['anaemia', ['a01.003.002.001'], 0]","['anaemias nec', ['a01.003.002'], 1]","['anaemias nonhaemolytic and marrow depression', ['a01.003'], 2]","['blood and lymphatic system disorders', ['a01'], 3]"
"['anaemia macrocytic', ['a01.003.002.002', 'a14.012.001.002'], 0]","['anaemias nec', ['a01.003.002'], 1]","['vitamin deficiencies nec', ['a14.012.001'], 1]","['anaemias nonhaemolytic and marrow depression', ['a01.003'], 2]","['vitamin related disorders', ['a14.012'], 2]","['blood and lymphatic system disorders', ['a01'], 3]","['metabolism and nutrition disorders', ['a14'], 3]"
"['anaemia megaloblastic', ['a01.003.002.003', 'a14.012.001.003'], 0]","['anaemias nec', ['a01.003.002'], 1]","['vitamin deficiencies nec', ['a14.012.001'], 1]","['anaemias nonhaemolytic and marrow depression', ['a01.003'], 2]","['vitamin related disorders', ['a14.012'], 2]","['blood and lymphatic system disorders', ['a01'], 3]","['metabolism and nutrition disorders', ['a14'], 3]"
"['anal pruritus', ['a07.003.003.002'], 0]","['anal and rectal signs and symptoms', ['a07.003.003'], 1]","['anal and rectal conditions nec', ['a07.003'], 2]","['gastrointestinal disorders', ['a07'], 3]"
"['anaphylactic shock', ['a10.001.002.002', 'a24.006.002.004'], 0]","['anaphylactic responses', ['a10.001.002'], 1]","['circulatory collapse and shock', ['a24.006.002'], 1]","['allergic conditions', ['a10.001'], 2]","['decreased and nonspecific blood pressure disorders and shock', ['a24.006'], 2]","['immune system disorders', ['a10'], 3]","['vascular disorders', ['a24'], 3]"
