"['pruritus genital', ['a23.003.012.008', 'a21.010.001.002'], 0]","['pruritus nec', ['a23.003.012'], 1]","['reproductive tract signs and symptoms nec', ['a21.010.001'], 1]","['epidermal and dermal conditions', ['a23.003'], 2]","['reproductive tract disorders nec', ['a21.010'], 2]","['skin and subcutaneous tissue disorders', ['a23'], 3]","['reproductive system and breast disorders', ['a21'], 3]"
"['keratopathy', ['a06.006.003.007'], 0]","['corneal structural change, deposit and degeneration', ['a06.006.003'], 1]","['anterior eye structural change, deposit and degeneration', ['a06.006'], 2]","['eye disorders', ['a06'], 3]"
"['corneal thinning', ['a06.006.003.009'], 0]","['corneal structural change, deposit and degeneration', ['a06.006.003'], 1]","['anterior eye structural change, deposit and degeneration', ['a06.006'], 2]","['eye disorders', ['a06'], 3]"
"['renal tubular necrosis', ['a20.001.007.003'], 0]","['renal vascular and ischaemic conditions', ['a20.001.007'], 1]","['renal disorders (excl nephropathies)', ['a20.001'], 2]","['renal and urinary disorders', ['a20'], 3]"
"['tumour necrosis', ['a16.032.003.009', 'a24.004.002.013'], 0]","['oncologic complications and emergencies', ['a16.032.003'], 1]","['non-site specific necrosis and vascular insufficiency nec', ['a24.004.002'], 1]","['neoplasm related morbidities', ['a16.032'], 2]","['arteriosclerosis, stenosis, vascular insufficiency and necrosis', ['a24.004'], 2]","['neoplasms benign, malignant and unspecified (incl cysts and polyps)', ['a16'], 3]","['vascular disorders', ['a24'], 3]"
"['skin tightness', ['a23.003.003.018'], 0]","['dermal and epidermal conditions nec', ['a23.003.003'], 1]","['epidermal and dermal conditions', ['a23.003'], 2]","['skin and subcutaneous tissue disorders', ['a23'], 3]"
"['epistaxis', ['a24.007.001.005', 'a22.004.003.001'], 0]","['haemorrhages nec', ['a24.007.001'], 1]","['nasal disorders nec', ['a22.004.003'], 1]","['vascular haemorrhagic disorders', ['a24.007'], 2]","['upper respiratory tract disorders (excl infections)', ['a22.004'], 2]","['vascular disorders', ['a24'], 3]","['respiratory, thoracic and mediastinal disorders', ['a22'], 3]"
"['nasopharyngitis', ['a11.001.013.002', 'a22.007.003.002'], 0]","['upper respiratory tract infections', ['a11.001.013'], 1]","['upper respiratory tract infections nec', ['a22.007.003'], 1]","['infections - pathogen unspecified', ['a11.001'], 2]","['respiratory tract infections', ['a22.007'], 2]","['infections and infestations', ['a11'], 3]","['respiratory, thoracic and mediastinal disorders', ['a22'], 3]"
"['condition aggravated', ['a08.001.003.004'], 0]","['general signs and symptoms nec', ['a08.001.003'], 1]","['general system disorders nec', ['a08.001'], 2]","['general disorders and administration site conditions', ['a08'], 3]"
"['hypertension', ['a24.008.002.001'], 0]","['vascular hypertensive disorders nec', ['a24.008.002'], 1]","['vascular hypertensive disorders', ['a24.008'], 2]","['vascular disorders', ['a24'], 3]"
"['petechiae', ['a01.001.003.002', 'a24.007.006.004', 'a23.006.001.003'], 0]","['bleeding tendencies', ['a01.001.003'], 1]","['bruising, ecchymosis and purpura', ['a24.007.006'], 1]","['purpura and related conditions', ['a23.006.001'], 1]","['coagulopathies and bleeding diatheses (excl thrombocytopenic)', ['a01.001'], 2]","['vascular haemorrhagic disorders', ['a24.007'], 2]","['skin vascular abnormalities', ['a23.006'], 2]","['blood and lymphatic system disorders', ['a01'], 3]","['vascular disorders', ['a24'], 3]","['skin and subcutaneous tissue disorders', ['a23'], 3]"
