abdominal cramps,0
abdominal pain,['a07.001.005.002']
gastrointestinal pain,['a07.001.005.005']
amblyopia,['a06.002.001.001']
anaemia,['a01.003.002.001']
anorexia,"['a14.003.001.001', 'a08.001.009.025']"
decreased appetite,"['a14.003.001.005', 'a08.001.009.028']"
anxiety,['a19.006.002.002']
arrhythmia,['a02.003.002.001']
asthenia,['a08.001.001.001']
atrial fibrillation,['a02.003.003.002']
back pain,['a15.003.004.005']
bronchitis,"['a11.001.009.001', 'a22.007.001.001']"
cardiovascular disorder,"['a02.001.001.001', 'a24.003.002.009']"
chest pain,"['a02.002.002.011', 'a08.001.008.002', 'a22.002.008.003']"
infection,['a11.001.008.002']
constipation,['a07.002.002.001']
cough,['a22.002.003.001']
depression,['a19.015.001.001']
diarrhoea,['a07.002.001.001']
dizziness,"['a02.001.002.004', 'a17.002.005.003', 'a24.006.002.007']"
dysgeusia,"['a07.014.003.001', 'a17.002.007.003']"
dyspepsia,['a07.001.002.001']
dyspnoea,"['a02.001.003.002', 'a22.002.001.004']"
rash,['a23.003.013.001']
dermatitis,['a23.003.004.002']
eye disorder,['a06.008.003.001']
body temperature increased,['a13.015.001.001']
gastritis,['a07.008.002.001']
gastrointestinal disorder,['a07.011.001.001']
headache,['a17.014.001.001']
haemorrhage,['a24.007.001.002']
haemoglobin,['a13.001.005.018']
hypercalcaemia,"['a14.004.001.003', 'a05.004.001.002']"
hyperkalaemia,['a14.005.003.001']
hypersensitivity,['a10.001.003.003']
hypertension,['a24.008.002.001']
hypotension,['a24.006.003.002']
influenza,"['a22.007.002.001', 'a11.005.003.001']"
cramps of lower extremities,0
muscle spasms,['a15.005.003.004']
melaena,"['a24.007.002.013', 'a07.012.002.004']"
hypertonia,"['a15.005.004.007', 'a17.005.002.001']"
nausea,['a07.001.007.001']
pain,['a08.001.008.004']
palpitations,['a02.001.002.003']
parathyroid disorder,['a05.004.003.001']
paraesthesia,['a17.002.006.005']
pharyngitis,"['a07.005.007.004', 'a11.001.013.003', 'a22.007.003.004']"
pruritus,['a23.003.012.001']
renal failure,['a20.001.003.005']
rhinitis,"['a11.001.013.004', 'a22.007.003.006']"
convulsion,0
sinusitis,"['a11.001.013.005', 'a22.007.003.007']"
tachycardia,['a02.003.002.007']
urinary tract infection,"['a11.001.014.004', 'a20.008.002.001']"
angiopathy,['a24.003.002.007']
vertigo,"['a04.004.001.003', 'a17.002.012.002']"
vomiting,['a07.001.007.003']
weight increased,['a13.015.001.006']
weight decreased,['a13.015.001.005']
body odor,0
skin odour abnormal,['a23.003.003.012']
oedema peripheral,"['a08.001.007.007', 'a02.005.004.007', 'a14.005.006.011']"
injection site reaction,"['a08.002.003.014', 'a12.007.003.015']"
accidental injury,['a12.001.008.013']
injury,['a12.001.008.004']
gastric atony,['a07.002.002.009']
impaired gastric emptying,['a07.002.002.004']
myalgia,['a15.005.002.001']
musculoskeletal discomfort,['a15.003.004.001']
gastrointestinal symptom nos,0
electrocardiogram abnormal,['a13.014.005.001']
fluid overload,"['a02.005.004.004', 'a14.005.006.001']"
insomnia,"['a17.015.003.002', 'a19.002.001.002']"
myasthenia,0
muscular weakness,"['a17.005.003.005', 'a15.005.006.001']"
drug dependence,['a19.007.002.009']
anaphylactic shock,"['a10.001.002.002', 'a24.006.002.004']"
angioedema,"['a10.001.005.009', 'a23.004.001.001']"
