pruritus genital,2.75
keratopathy,1.875
corneal thinning,1.875
renal tubular necrosis,1.875
tumour necrosis,2.75
skin tightness,1.875
epistaxis,2.75
nasopharyngitis,2.75
condition aggravated,1.875
hypertension,1.875
petechiae,3.625
skin discomfort,1.875
myoclonus,1.875
swollen tongue,4.375
duodenal ulcer,1.875
glycosuria,1.875
anorectal discomfort,1.875
alcohol abuse,1.875
epilepsy,1.875
arrhythmia,1.875
sinus arrhythmia,1.875
acute psychosis,1.875
peripheral ischaemia,1.875
pulse pressure decreased,1.875
choking,1.875
paranoia,1.875
onychomycosis,2.75
palmar erythema,1.875
hyperkinesia,1.875
oesophagitis ulcerative,1.875
pain in jaw,1.875
azoospermia,1.875
aphonia,3.625
acute pulmonary oedema,2.75
gingival disorder,1.875
thrombocytopenic purpura,2.75
substance abuse,1.875
alanine aminotransferase increased,1.875
eye haemorrhage,2.75
choreoathetosis,1.875
anal fissure,1.875
neuromyopathy,2.75
eye discharge,1.875
pancreatitis haemorrhagic,1.875
muscle contracture,1.875
gingival hypertrophy,1.875
dehydration,1.875
bladder pain,1.875
uterine disorder,1.875
herpes virus infection,1.875
type 2 diabetes mellitus,4.0
increased appetite,2.75
retinal degeneration,1.875
aphthous stomatitis,1.875
abortion,1.875
antisocial personality disorder,1.875
ketoacidosis,1.875
hypertonia,2.75
orbital oedema,1.875
orthopnoea,2.75
testicular disorder,1.875
atrioventricular block complete,1.875
mental disorder due to a general medical condition,1.875
erythema multiforme,2.75
pleural effusion,1.875
intermittent claudication,1.875
epididymitis,2.75
ocular discomfort,1.875
vomiting,1.875
haemorrhage intracranial,2.75
lip ulceration,1.875
mediastinal disorder,1.875
balanoposthitis,1.875
retinal vein thrombosis,2.75
teratogenicity,2.75
hostility,1.875
c-reactive protein increased,1.875
traumatic liver injury,2.75
megacolon,1.875
haemarthrosis,3.625
compartment syndrome,2.75
stereotypy,2.75
atrioventricular block second degree,1.875
medication overuse headache,0
dizziness,3.625
application site pruritus,4.875
pelvic discomfort,3.625
disease progression,1.875
injection site irritation,4.0
self-injurious ideation,0
libido decreased,2.75
prothrombin level increased,1.875
blood albumin decreased,1.875
suicidal ideation,1.875
breast pain,1.875
cutaneous lupus erythematosus,3.625
