STITCH ID STEREO,MEDRA TERM UMLS CONCEPT ID,se_count
CID000000119,"['C0002792', 'C0030193', 'C0151828', 'C0002994', 'C0042109']",5
CID000000137,"['C0406834', 'C0027497', 'C0019080', 'C0267792', 'C0311468', 'C0151479', 'C3544060', 'C0030554', 'C0020580', 'C0151662', 'C0234233', 'C0151717', 'C0085641', 'C0042373', 'C1145670', 'C0162834', 'C0015967', 'C0002871', 'C0162835', 'C0011991', 'C0013922', 'C0085593', 'C0011603', 'C0019348', 'C0162285', 'C0151904', 'C0004936', 'C0015256', 'C0521490', 'C0037274', 'C0003537', 'C0241166', 'C0233494', 'C0018681', 'C0027651', 'C0340726', 'C0018979', 'C0702166', 'C0041582', 'C0036508', 'C0151908', 'C0237849', 'C0151905', 'C0009450', 'C0007114', 'C0018989', 'C0027765', 'C1527311', 'C0036572', 'C1384353', 'C0870082', 'C0423791', 'C0023518', 'C0017178', 'C0013604', 'C0020453', 'C0162830', 'C2939147', 'C0006118', 'C0030193', 'C0015230', 'C0392699', 'C0518015', 'C0151505', 'C0038814', 'C0040034', 'C0042963', 'C0042109', 'C0041834', 'C0332534', 'C0205204', 'C0020429', 'C0027769', 'C0015397', 'C0031256', 'C0234215', 'C0018799', 'C0020649', 'C0033774']",79
CID000000143,"['C0011991', 'C0038362', 'C0027497', 'C0002792', 'C0015230', 'C1325847', 'C0015672', 'C0043144', 'C0023380', 'C0022660', 'C0011603', 'C0040034', 'C0002170', 'C0232462', 'C0009450', 'C2047937', 'C0004093', 'C0042963', 'C0042109', 'C1443060', 'C0041834', 'C0009806', 'C0235431', 'C0234215', 'C0015376', 'C0036572', 'C0746883', 'C0023530', 'C0020517', 'C0231218', 'C0340865', 'C0033774']",32
CID000000175,"['C0018965', 'C0020488', 'C0001122', 'C0030193']",4
CID000000187,"['C0010038', 'C0010037', 'C0428977', 'C0020458', 'C0020649', 'C0016382', 'C0013404']",7
CID000000206,"['C0546817', 'C0039231', 'C0030193', 'C0013604', 'C0036974', 'C0042487', 'C0020538', 'C0009421', 'C0085631', 'C0009676', 'C0020621', 'C0034065', 'C2830004', 'C0004093', 'C1443060', 'C0041657', 'C0001122', 'C0018802', 'C0022107', 'C0234233', 'C0268000', 'C0011175', 'C0027765', 'C0015376', 'C0036572', 'C0037036', 'C0027540', 'C1145670', 'C0039971', 'C0012833', 'C0018681', 'C0031542', 'C0152227', 'C0040046', 'C0019054', 'C0000833', 'C0015967', 'C0020488']",38
CID000000222,"['C0546817', 'C0031542', 'C0030193', 'C0009450', 'C0042487', 'C0015967', 'C0015376']",7
CID000000244,"['C0030193', 'C0015230', 'C1696574', 'C0034212', 'C0235266', 'C0237849', 'C0011603', 'C0221244', 'C0041834', 'C0030554', 'C0020580', 'C0015256', 'C0521490', 'C0521495', 'C0701836', 'C1323189', 'C0877098', 'C0033774', 'C0013604', 'C0036508']",20
CID000000247,"['C0011991', 'C0041969', 'C0027497', 'C0017675', 'C0232487', 'C0085631', 'C0042075', 'C0002170', 'C0004936', 'C0232462', 'C0042963', 'C0042109', 'C0022107', 'C0037274', 'C0013378', 'C0042024', 'C0031212', 'C0027765', 'C1527311', 'C0234930', 'C0851578', 'C0018681', 'C0162429', 'C0017178', 'C0040435']",25
CID000000271,"['C0003811', 'C0011991', 'C0595862', 'C0027497', 'C0006663', 'C0036974', 'C0009421', 'C0009676', 'C0018790', 'C0549249', 'C0428977', 'C0085628', 'C0232462', 'C0004093', 'C1443060', 'C0042963', 'C0041657', 'C0030554', 'C0020437', 'C1142412', 'C0009806', 'C0013378', 'C0039070', 'C0011206', 'C0085616', 'C0012833', 'C0020517', 'C0020649', 'C0033774', 'C0000833', 'C0013604', 'C0027540']",32
CID000000297,"['C0236124', 'C0600260', 'C0006272', 'C0011175', 'C0021843']",5
CID000000311,"['C0020461', 'C0085632', 'C0011991', 'C0013362', 'C0027497', 'C0085593', 'C0020598', 'C0232487', 'C0233471', 'C0009676', 'C0522055', 'C0004093', 'C1443060', 'C0042963', 'C0232492', 'C0023895', 'C0030554', 'C0429098', 'C0032343', 'C0020649', 'C3665624', 'C2697368', 'C0429029']",23
CID000000312,"['C0016204', 'C0020461', 'C0546817', 'C0011991', 'C0027497', 'C0232487', 'C0015230', 'C0042487', 'C0011603', 'C0009450', 'C0042963', 'C0234233', 'C0020625', 'C0015376', 'C1112525', 'C0017181', 'C0031542', 'C0000833', 'C0015967', 'C0027540', 'C0041582']",21
CID000000338,"['C0018524', 'C0004096', 'C0011991', 'C0043094', 'C0027497', 'C0232487', 'C0015230', 'C0030193', 'C0013491', 'C0877047', 'C0009676', 'C0023380', 'C0040264', 'C0237849', 'C0011603', 'C0232462', 'C2830004', 'C1443060', 'C0042109', 'C0042963', 'C0014742', 'C0041834', 'C0232492', 'C0014591', 'C0009806', 'C0011053', 'C0013378', 'C0085624', 'C0014868', 'C0013395', 'C0347390', 'C0012833', 'C0018681', 'C0019158', 'C1384666', 'C0013295', 'C0033774', 'C0013604', 'C0038358']",39
CID000000444,"['C0013362', 'C0038362', 'C0162298', 'C0006277', 'C0232487', 'C0018520', 'C0242350', 'C0036396', 'C0013182', 'C0039503', 'C0235086', 'C0026961', 'C0026858', 'C2047937', 'C0014591', 'C0029261', 'C0699744', 'C0917799', 'C0036830', 'C0149931', 'C0043241', 'C0240515', 'C0017181', 'C0012569', 'C0020517', 'C0042267', 'C0032961', 'C0086769', 'C0160390', 'C0000737', 'C0027066', 'C0020456', 'C0273482', 'C0019372', 'C0004936', 'C0040409', 'C0017152', 'C0232849', 'C0025874', 'C0031117', 'C1384606', 'C0009763', 'C0080194', 'C0030318', 'C0241060', 'C0339916', 'C0011206', 'C0231218', 'C0232431', 'C0038358', 'C0013384', 'C0151966', 'C0702166', 'C0021141', 'C0003811', 'C0030252', 'C0016199', 'C0549373', 'C0262397', 'C0006266', 'C0034065', 'C0948089', 'C0036689', 'C0030305', 'C0152029', 'C0234930', 'C0006325', 'C0014724', 'C0043352', 'C0008031', 'C0002957', 'C0030196', 'C0043094', 'C0002792', 'C0030193', 'C0002418', 'C0151505', 'C0025345', 'C0010200', 'C0549249', 'C0080274', 'C0035243', 'C0015397', 'C0004134', 'C0002453', 'C0522178', 'C0020458', 'C0038435', 'C0033046', 'C0235378', 'C0085636', 'C0042029', 'C0743668', 'C0027497', 'C0013595', 'C0007286', 'C0013404', 'C0233762', 'C0520966', 'C0403632', 'C0152517', 'C0018621', 'C0151786', 'C0037383', 'C0020039', 'C0015371', 'C0020580', 'C0085166', 'C0022107', 'C0007117', 'C0233632', 'C0234458', 'C0016382', 'C0011175', 'C0037036', 'C0023530', 'C0019294', 'C0015967', 'C0020175', 'C0541798', 'C0035455', 'C0021053', 'C0026946', 'C1619712', 'C0497247', 'C2830004', 'C0235969', 'C0232492', 'C0011168', 'C0017565', 'C0027424', 'C0151692', 'C2225524', 'C0005586', 'C0242422', 'C0011053', 'C0011253', 'C0003537', 'C0041912', 'C0344315', 'C0549209', 'C0018418', 'C0018681', 'C0027651', 'C1456784', 'C0021400', 'C0025061', 'C0030469', 'C0521591', 'C1510410', 'C0085632', 'C0004096', 'C0085633', 'C0036974', 'C0016385', 'C0424295', 'C0232495', 'C0014394', 'C0002622', 'C0026827', 'C2584688', 'C0023518', 'C0392156', 'C0029456', 'C0162830', 'C0017574', 'C0016242', 'C0234913', 'C0038814', 'C0042075', 'C0520587', 'C0006145', 'C0026857', 'C0021845', 'C0042963', 'C0038663', 'C0152027', 'C0003862', 'C0027769', 'C0039591', 'C0853193', 'C0013378', 'C0404521', 'C0011124', 'C0086132', 'C0012833', 'C0019158', 'C0020649', 'C0152227', 'C0040822', 'C0040425', 'C0033774', 'C1609512', 'C0236068', 'C0020678', 'C1260922', 'C0344232', 'C0036130', 'C0028734', 'C0009676', 'C0011615', 'C0037672', 'C0016436', 'C0004093', 'C0948525', 'C0855242', 'C0019572', 'C0030554', 'C0239978', 'C0013146', 'C0017979', 'C0037384', 'C0020615', 'C0241934', 'C0019360', 'C1384666', 'C0085649', 'C0022346', 'C3263723', 'C0002871', 'C0016204', 'C1168034', 'C0151830', 'C0555724', 'C0041969', 'C0231528', 'C0085593', 'C0013491', 'C0043144', 'C0340464', 'C0393761', 'C0011603', 'C0150450', 'C0152128', 'C0085623', 'C0518988', 'C0010692', 'C1443060', 'C0038325', 'C0233414', 'C1142135', 'C0151611', 'C0032584', 'C0033975', 'C0161479', 'C0004604', 'C0006142', 'C0014868', 'C0233472', 'C0011551', 'C0851578', 'C0151936', 'C0006444', 'C0233494', 'C0043246', 'C0151827', 'C0948349', 'C0033575', 'C0029927', 'C0086439', 'C0232461', 'C0233471', 'C0521839', 'C0237314', 'C0043096', 'C0033771', 'C0314719', 'C0042023', 'C0233565', 'C0032285', 'C0852733', 'C0231530', 'C0009782', 'C0016479', 'C0027796', 'C0028081', 'C0027765', 'C0013395', 'C0019917', 'C0003467', 'C0007859', 'C0039971', 'C0878773', 'C0017178', 'C0035410', 'C0242073', 'C0424000', 'C0018524', 'C2939147', 'C0015230', 'C0037195', 'C0001807', 'C0040034', 'C0600142', 'C0948594', 'C0474378', 'C1322281', 'C0011606', 'C0039240', 'C0581912', 'C0234215', 'C0156404', 'C0235710', 'C0016470', 'C0423798', 'C0009938', 'C0221776', 'C0038454', 'C0040259', 'C0497156', 'C0019080', 'C0009421', 'C0686347', 'C0023380', 'C0037578', 'C0002170', 'C0232462', 'C0235996', 'C0542571', 'C0435002', 'C0009806', 'C0233794', 'C0426636', 'C0231919', 'C1260880', 'C0235146', 'C0031350', 'C0017605', 'C0028084', 'C0042373', 'C0393760', 'C0455769', 'C0011334', 'C0030312', 'C0019196', 'C0042035', 'C0476280', 'C0026826', 'C0700184', 'C0687713', 'C0011991', 'C0085606', 'C0017675', 'C1167965', 'C0030232', 'C0023067', 'C0233477', 'C0027051', 'C0009319', 'C0040264', 'C0042571', 'C0043387', 'C0017168', 'C1306341', 'C0027441', 'C0041657', 'C0025320', 'C0149745', 'C2979982', 'C0008033', 'C0015256', 'C0338831', 'C0037274', 'C0151517', 'C0409497', 'C0236075', 'C1262141', 'C1328308', 'C0151602', 'C0040460', 'C0021177', 'C0002994', 'C0037763', 'C0040435', 'C0013456', 'C0086565', 'C0152030', 'C0039070', 'C0521592', 'C0007222', 'C0039231', 'C0034880', 'C0151713', 'C0151610', 'C0239739', 'C0277925', 'C0010709', 'C0085631', 'C0151908', 'C0853348', 'C0029928', 'C0558489', 'C0026603', 'C0009450', 'C0233754', 'C0235857', 'C0032617', 'C1291078', 'C0033893', 'C0234708', 'C0042024', 'C0036572', 'C0233407', 'C0877046', 'C1384353', 'C0031542', 'C0029408', 'C0162429', 'C0423791', 'C0020651', 'C0013604', 'C0020453', 'C0236000', 'C0003864', 'C0013390', 'C0020578', 'C0016397', 'C0518015', 'C0015672', 'C0020538', 'C0037199', 'C0020443', 'C0042109', 'C0014742', 'C0917801', 'C1142412', 'C0549622', 'C0152031', 'C0020522', 'C0000731', 'C0475858', 'C3665347', 'C0026837', 'C0013428', 'C0877322', 'C0018799', 'C0151763', 'C0017160']",438
CID000000564,"['C0687713', 'C0000737', 'C0001824', 'C0011991', 'C0018524', 'C0038454', 'C0231528', 'C0027497', 'C0002792', 'C0030193', 'C0015230', 'C0035078', 'C0005779', 'C0036974', 'C0013404', 'C0151740', 'C0009676', 'C0151539', 'C0040264', 'C0011603', 'C0040034', 'C0428977', 'C0034065', 'C2047937', 'C1443060', 'C0027121', 'C0042963', 'C0948594', 'C0041657', 'C0151786', 'C0027424', 'C0026848', 'C0853813', 'C0853034', 'C0040053', 'C0234215', 'C0036572', 'C0023530', 'C0039070', 'C0151735', 'C0011206', 'C0012833', 'C0018681', 'C0020517', 'C0231218', 'C0020649', 'C0340865', 'C0035410', 'C0152227', 'C0033774', 'C0013604', 'C0027540', 'C0235490']",53
